GEOID,pop_dens,pct_SingleUnit,pct_NaturalResources,NatWalkInd,PM25,pop_dens_t,pct_SingleUnit_t,pct_NaturalResources_t,NatWalkInd_t,PM25_t,UR_Scale,UR_Cat
53007961301,80.85572,0.7731239,0.1484992,8.67,7.589452102,0.412098504,0.7731239,0.1484992,0.44077275,0.456260499,0.439686334,1
53007961303,2249.595,0.5769011,0.06650246,13.12,9.157874317,0.724112491,0.5769011,0.06650246,0.667005592,0.550550455,0.678508799,2
53007961304,149.2061,0.8091698,0.007986309,8.22,8.730412568,0.469575483,0.8091698,0.007986309,0.417895272,0.524852432,0.462748928,1
53009000300,80.69352,0.7695652,0.08875178,11.65,4.500410334,0.411910118,0.7695652,0.08875178,0.592272496,0.270554374,0.49016835,1
53009000600,3.738319,0.9710407,0.07667934,5.56,4.080276667,0.123707994,0.9710407,0.07667934,0.282663955,0.245296899,0.245155795,0
53009000700,301.2929,0.8627329,0.01023672,6.27,4.749581719,0.535504461,0.8627329,0.01023672,0.318759532,0.285533988,0.423017425,1
53009000800,1258.135,0.8398558,0.04519451,14.13,4.744055063,0.669594675,0.8398558,0.04519451,0.718352822,0.285201738,0.601242896,2
53009000900,1284.737,0.6233244,0.01274363,12.58,4.748565627,0.671557622,0.6233244,0.01274363,0.639552618,0.285472903,0.634418458,2
53009001000,1498.007,0.6554364,0.05357143,8.59,4.753964532,0.685965891,0.6554364,0.05357143,0.436705643,0.285797473,0.556445812,2
53009001100,304.8798,0.7303241,0.01332398,8.68,4.589355528,0.536614736,0.7303241,0.01332398,0.441281139,0.275901556,0.497675186,1
53009001200,619.4001,0.7053093,0.05634715,10.05,4.715750629,0.603114065,0.7053093,0.05634715,0.510930351,0.28350014,0.542900983,2
53009001300,339.2473,0.9291925,0.01554094,7.17,4.763828024,0.546635292,0.9291925,0.01554094,0.364514489,0.286390443,0.424447936,1
53009001400,59.27286,0.9452424,0.06735267,4.02,4.581431987,0.382967521,0.9452424,0.06735267,0.20437214,0.275425211,0.308010309,0
53009001500,4.694586,0.9892086,0.09502262,2.64,4.128041259,0.145076628,0.9892086,0.09502262,0.13421454,0.248168397,0.194458951,0
53009001600,154.177,0.9787633,0.02020202,4.65,4.894551834,0.47265006,0.9787633,0.02020202,0.23640061,0.29424926,0.345306982,0
53009001701,178.0113,1,0.1605096,6.5,5.636620219,0.486135583,1,0.1605096,0.330452466,0.338860714,0.359727229,0
53009001702,138.4124,0.9361997,0,3.84,5.898289617,0.462530818,0.9361997,0,0.195221149,0.354591679,0.344853629,0
53009001800,12.13302,0.9487952,0.01470588,3.26,4.38987936,0.234156026,0.9487952,0.01470588,0.165734621,0.263909505,0.254416093,0
53009001901,182.7059,0.9761115,0.02189266,4.44,5.81957377,0.488577659,0.9761115,0.02189266,0.225724453,0.349859463,0.3499626,0
53009001902,153.2136,0.7569721,0,3.91,5.947153005,0.472062002,0.7569721,0,0.198779868,0.357529234,0.394685193,1
53009002001,357.6281,0.6086957,0,14.65,5.741248634,0.551585379,0.6086957,0,0.744789019,0.345150734,0.64162683,2
53009002002,280.5369,0.7995065,0.04813806,5.88,5.675642077,0.528808162,0.7995065,0.04813806,0.298932384,0.341206618,0.42816503,1
53009002100,968.3321,0.5314092,0,16.7,4.934436776,0.64503288,0.5314092,0,0.849008643,0.296647051,0.722959633,2
53009002301,36.392,0.9938971,0,3.63,6.00781694,0.337204268,0.9938971,0,0.184544992,0.361176211,0.28821404,0
53009002302,10.70062,0.9850746,0,4.48,5.338273224,0.222370129,0.9850746,0,0.227758007,0.320924775,0.267554204,0
53009002400,1.409725,0.9437908,0.08190328,2.47,4.998122951,0.032215609,0.9437908,0.08190328,0.125571937,0.300475718,0.172686922,0
53009940000,14.8422,0.900641,0.1558442,1.95,4.831227531,0.253063882,0.900641,0.1558442,0.09913574,0.290442348,0.232540195,0
53011040101,16.10076,0.9750398,0.02686703,4.38,6.720386689,0.260699682,0.9750398,0.02686703,0.222674123,0.404014275,0.281000542,0
53011040102,71.12994,0.9762658,0.04115587,4.5,7.158150958,0.400075347,0.9762658,0.04115587,0.228774784,0.430331661,0.325285231,0
53011040201,128.7616,0.9111192,0.02315436,4.24,7.186750153,0.455750331,0.9111192,0.02315436,0.215556685,0.432050979,0.357018167,0
53011040202,53.1517,0.9878419,0.02094972,4.31,7.073676513,0.372741539,0.9878419,0.02094972,0.219115404,0.425253251,0.313039121,0
53011040203,80.18174,1,0.007455732,4.5,7.430964718,0.411313222,1,0.007455732,0.228774784,0.4467326,0.328057167,0
53011040301,70.88087,1,0.004119464,5.97,7.509058062,0.399746266,1,0.004119464,0.30350788,0.451427393,0.350544943,0
53011040303,216.4672,0.8543689,0,4.22,10.52381148,0.50448507,0.8543689,0,0.214539908,0.632667472,0.399716083,1
53011040304,142.6968,1,0,5.19,10.3416694,0.465390722,1,0,0.263853584,0.621717507,0.366818908,1
53011040305,135.5014,0.9246032,0.02834646,7,9.875538251,0.460536716,0.9246032,0.02834646,0.355871886,0.593694769,0.41048287,1
53011040403,91.89869,0.9800747,0.004997224,5.3,7.832542956,0.424108757,0.9800747,0.004997224,0.269445857,0.470874565,0.352467997,0
53011040407,1133.526,0.6649895,0,13.65,7.840370137,0.659810009,0.6649895,0,0.693950178,0.471345117,0.650098582,2
53011040408,193.8099,0.9889053,0.004487179,5.61,8.070101461,0.494112753,0.9889053,0.004487179,0.285205897,0.485156039,0.378009872,1
53011040409,285.1136,0.8913043,0.006116208,7.51,8.208120088,0.530326318,0.8913043,0.006116208,0.381799695,0.493453403,0.446996812,1
53011040411,1224.351,0.2555556,0,11.5,8.361807712,0.667041069,0.2555556,0,0.58464667,0.502692752,0.720866773,2
53011040412,1313.878,0.7055503,0.004037142,9.24,8.207634132,0.673661805,0.7055503,0.004037142,0.46975089,0.493424189,0.56857957,2
53011040413,474.4051,0.599177,0.009049774,7.75,7.940809469,0.578094527,0.599177,0.009049774,0.394001017,0.4773833,0.538864471,2
53011040414,521.5024,0.8972896,0.01014066,6.81,7.778864762,0.586974342,0.8972896,0.01014066,0.346212506,0.467647555,0.4490039,1
53011040415,1258.852,0.8408408,0.008902077,9.92,7.735166322,0.669648125,0.8408408,0.008902077,0.504321301,0.465020505,0.542578153,2
53011040416,190.4253,1,0.006278539,4.16,7.587452518,0.492459938,1,0.006278539,0.211489578,0.456140289,0.34789792,0
53011040504,25.57883,0.993498,0.009610251,4.7,7.527118166,0.304126567,0.993498,0.009610251,0.238942552,0.452513126,0.300075532,0
53011040505,148.7929,0.9844925,0.01628392,5.32,7.851231253,0.469315318,0.9844925,0.01628392,0.270462633,0.471998063,0.364213243,1
53011040507,86.03191,0.7353293,0.005285412,9.06,9.010623585,0.417919914,0.7353293,0.005285412,0.460599898,0.541698078,0.48129125,1
53011040509,1974.378,0.7320117,0,16.45,9.097296229,0.71186992,0.7320117,0,0.836298932,0.546908639,0.701434897,2
53011040510,110.6452,0.9528651,0.005579912,4.49,8.712452129,0.441524774,0.9528651,0.005579912,0.228266396,0.523772692,0.353470568,0
53011040511,25.86903,1,0.02218279,3.99,8.192682945,0.305184937,1,0.02218279,0.202846975,0.492525357,0.286923634,0
53011040512,824.0931,0.9558442,0,6.83,16.63403279,0.62990129,0.9558442,0,0.347229283,1,0.47695413,1
53011040513,1095.225,0.9061252,0,12.91,16.44874863,0.656585273,0.9061252,0,0.656329436,0.988861141,0.602178485,2
53011040603,85.68021,0.9865654,0.01208178,3.68,8.327738298,0.41753561,0.9865654,0.01208178,0.187086934,0.500644576,0.321447854,0
53011040604,251.1019,0.9689567,0.02285714,4.82,8.601462124,0.51840909,0.9689567,0.02285714,0.245043213,0.517100227,0.376180794,1
53011040605,280.6287,0.7877046,0.004834511,6.04,8.859995238,0.528838856,0.7877046,0.004834511,0.307066599,0.532642646,0.449703825,1
53011040608,489.496,0.8368486,0,7.32,8.951445271,0.581032318,0.8368486,0,0.372140315,0.538140413,0.476360759,1
53011040609,1722.999,0.9775281,0,7.7,9.132115145,0.699093517,0.9775281,0,0.391459075,0.549001872,0.484214009,1
53011040610,1171.93,0.940784,0,7.23,9.025066541,0.662935819,0.940784,0,0.36756482,0.542566355,0.473932118,1
53011040703,1318.751,0.9105991,0.009651945,11.85,8.642741702,0.674009109,0.9105991,0.009651945,0.602440264,0.51958186,0.562273817,2
53011040706,2268.259,0.6117994,0.01158504,15.42,8.680675884,0.724887627,0.6117994,0.01158504,0.783934926,0.521862377,0.715364645,2
53011040707,2228.605,0.9690909,0.00487013,13.51,8.616998539,0.723233033,0.9690909,0.00487013,0.68683274,0.51803424,0.591821908,2
53011040709,424.2883,0.8787709,0.01935194,5.63,8.355774384,0.567620217,0.8787709,0.01935194,0.286222674,0.502330042,0.427958612,1
53011040711,1572.451,0.7423372,0.01305638,13.25,8.562300575,0.690515923,0.7423372,0.01305638,0.673614642,0.514745924,0.633570565,2
53011040712,2160.726,0.9955709,0,9.46,8.498166196,0.720331186,0.9955709,0,0.480935435,0.510890312,0.514570649,2
53011040713,627.1882,0.9870229,0.01269841,9.83,12.85413115,0.604286306,0.9870229,0.01269841,0.499745806,0.77276096,0.499318198,1
53011040714,3542.517,0.4370149,0,9.83,12.66548361,0.766712743,0.4370149,0,0.499745806,0.761419902,0.690279643,2
53011040715,107.7498,0.9411765,0.1282985,6,12.3404235,0.439037096,0.9411765,0.1282985,0.305033045,0.741878031,0.376871715,1
53011040803,1361.551,0.8959958,0.01290054,10.35,8.501919053,0.677005509,0.8959958,0.01290054,0.526182003,0.511115925,0.540145037,2
53011040806,1549.067,0.947974,0.002370471,7.42,8.581964598,0.689110316,0.947974,0.002370471,0.377224199,0.51592808,0.481759006,1
53011040808,452.6253,0.9105181,0.008810573,13.33,8.610299048,0.573685501,0.9105181,0.008810573,0.677681749,0.517631482,0.556865466,2
